City,Lat,Lon,Temp(F),Humidity%,Wind Speed,Cloudiness%
rikitea,-23.12,-134.97,78.24,82,15.5,55
kahului,20.89,-156.47,77.04,51,24.16,40
butaritari,3.07,172.79,83.08,77,14.25,100
lebu,-37.62,-73.65,52.75,84,3.33,0
banjarmasin,-3.32,114.59,77.0,100,5.82,40
kananga,-5.9,22.42,67.55,82,1.72,33
northam,51.03,-4.22,43.03,97,4.0,43
itarema,-2.92,-39.92,77.99,86,8.16,100
filadelfia,39.95,-75.16,56.44,41,12.75,75
brigantine,39.41,-74.36,54.0,54,8.05,75
quang ngai,15.12,108.8,78.71,75,5.86,87
polovinnoye,54.79,65.99,48.09,72,15.79,0
quixada,-4.97,-39.02,73.71,84,3.0,100
olafsvik,64.89,-23.71,39.51,72,6.96,0
hilo,19.73,-155.09,78.08,54,10.29,1
avarua,-21.21,-159.78,84.2,70,6.93,46
fort nelson,58.81,-122.7,59.0,21,17.22,75
saint-philippe,-21.36,55.77,67.8,68,17.22,75
yumen,40.28,97.2,69.75,8,12.33,10
frolovo,49.77,43.66,40.05,71,5.5,44
turinsk,58.05,63.7,46.08,84,7.02,16
rundu,-17.93,19.77,62.6,72,1.12,0
ixtapa,20.7,-105.2,79.79,61,9.17,20
lethem,3.38,-59.8,85.95,52,5.66,100
byron bay,-28.65,153.62,69.94,88,2.24,90
severnyy,50.68,36.55,48.2,49,6.71,83
dumas,35.87,-101.97,79.2,22,12.75,1
arman,59.7,150.17,31.55,93,3.76,65
mporokoso,-9.37,30.12,61.97,64,5.68,100
upernavik,72.79,-56.15,17.96,95,2.82,100
takoradi,4.88,-1.76,80.38,86,6.15,100
pochutla,15.74,-96.47,86.0,69,7.11,82
jacareacanga,-6.22,-57.75,75.24,93,1.57,42
lawton,34.61,-98.39,87.53,45,6.93,1
sokolo,14.73,-6.12,93.24,16,15.77,0
yellowknife,62.46,-114.35,51.8,43,5.82,20
san patricio,19.22,-104.7,78.8,69,11.41,40
kodinsk,58.69,99.18,56.84,40,0.72,77
flagstaff,35.2,-111.65,76.37,12,8.05,1
tromso,69.65,18.96,26.6,58,13.87,0
castro,-24.79,-50.01,57.92,60,3.09,100
korla,41.76,86.15,68.0,68,4.0,23
soligalich,59.08,42.29,30.06,95,0.87,57
provideniya,64.38,-173.3,28.4,63,2.24,75
bethel,41.37,-73.41,53.22,30,4.7,1
manokwari,-0.87,134.08,83.77,73,2.35,67
vila franca do campo,37.72,-25.43,59.0,67,6.93,75
thompson,55.74,-97.86,39.2,35,5.82,40
new norfolk,-42.78,147.06,60.76,61,1.99,48
jumla,29.27,82.18,49.15,28,1.95,0
hithadhoo,-0.6,73.08,83.61,77,15.66,100
puerto escondido,15.85,-97.07,86.0,74,6.93,75
nizwa,22.93,57.53,81.91,32,3.13,0
bluff,-46.6,168.33,61.0,67,8.01,100
canby,45.26,-122.69,69.75,46,3.36,1
viru,-8.42,-78.75,71.73,69,4.76,2
lerwick,60.15,-1.15,43.7,81,3.36,75
kavaratti,10.57,72.64,84.67,73,11.12,71
fuengirola,36.54,-4.62,62.8,72,10.29,0
mogilno,52.66,17.96,50.16,76,13.87,100
lorengau,-2.02,147.27,86.5,63,5.03,3
porto novo,6.5,2.6,82.4,83,8.05,20
cockburn town,21.46,-71.14,79.14,80,17.85,0
dikson,73.51,80.55,20.61,95,8.81,100
codrington,-38.27,141.97,56.01,78,10.98,100
clyde river,70.47,-68.59,2.55,82,6.22,0
lata,40.16,-8.33,54.99,93,4.7,20
kamina,-8.74,24.99,64.22,64,1.61,31
egvekinot,66.32,-179.17,20.23,94,4.81,97
esperance,-33.87,121.9,53.6,71,18.34,90
kuryk,43.2,51.65,50.41,78,4.0,0
mayumba,-3.43,10.66,79.02,90,10.38,81
voloshka,61.33,40.09,24.21,96,2.3,20
luderitz,-26.65,15.16,59.0,82,2.24,0
guerrero negro,27.98,-114.06,66.94,69,16.62,0
hailun,47.45,126.93,62.56,27,9.93,0
speedway,39.8,-86.27,71.13,49,12.75,75
yongan,39.7,113.69,71.4,13,7.14,0
mirpur sakro,24.55,67.63,78.8,83,3.36,0
fortuna,40.6,-124.16,58.75,87,13.87,40
muyezerskiy,63.93,31.65,24.48,96,7.87,99
moerai,-22.43,-151.33,79.88,79,15.61,100
praia da vitoria,38.73,-27.07,57.2,71,6.69,75
zhangjiakou,40.81,114.88,71.73,14,3.42,28
goulburn,-34.75,149.72,62.64,73,19.33,91
cooma,-36.23,149.13,60.8,77,21.92,100
natal,-5.79,-35.21,77.0,94,5.82,20
bakel,14.9,-12.46,96.15,14,12.15,55
kirovskiy,45.09,133.51,59.02,38,11.79,13
whitehorse,60.72,-135.05,48.09,36,10.29,75
jackson,42.42,-122.83,80.64,26,6.93,1
nome,64.5,-165.41,26.42,79,12.75,90
den helder,52.96,4.76,46.15,87,12.75,90
karratha,-20.74,116.85,90.07,36,16.26,100
allingabro,56.47,10.33,35.65,86,1.12,97
saurimo,-9.66,20.39,65.59,66,1.57,2
qui nhon,13.77,109.23,77.99,77,7.74,69
nanortalik,60.14,-45.24,34.9,83,6.62,38
gat,31.61,34.76,57.31,91,3.0,51
bandarbeyla,9.49,50.81,83.17,78,14.56,22
at-bashi,41.17,75.81,52.79,30,1.59,61
muroto,33.28,134.15,62.6,55,5.82,0
vaini,-21.2,-175.2,80.6,78,10.29,75
carutapera,-1.2,-46.02,76.21,93,5.35,100
grojec,51.86,20.87,55.44,47,6.93,100
brits,-25.63,27.78,49.71,95,2.53,0
chlorakas,34.8,32.41,50.45,81,6.93,0
chambersburg,39.94,-77.66,49.68,83,1.01,99
majenang,-7.3,108.76,80.69,80,2.37,61
saint-georges,12.06,-61.75,78.8,78,9.17,20
biak,-0.91,122.88,82.18,67,2.71,73
kaitangata,-46.28,169.85,62.01,46,7.0,53
tessalit,20.2,1.01,84.15,15,12.64,1
rock springs,41.59,-109.2,64.4,15,21.92,1
manadhoo,5.77,73.38,84.78,75,10.85,100
kozhva,65.11,57.05,31.55,96,6.35,100
cayenne,4.93,-52.33,77.0,100,5.82,90
grindavik,63.84,-22.43,39.2,86,9.17,0
cutro,39.04,16.98,60.8,100,2.24,75
dioknisi,41.63,42.39,44.92,93,3.36,0
srednekolymsk,67.45,153.68,22.98,96,11.12,100
kokopo,-4.35,152.26,86.94,65,7.7,76
torbay,47.67,-52.73,31.32,86,24.16,90
buta,2.79,24.73,69.62,87,2.59,100
saint-pierre,-21.34,55.48,66.76,68,12.75,75
tilichiki,60.47,166.1,27.09,95,6.91,16
grande prairie,55.17,-118.8,53.6,34,13.87,90
bredasdorp,-34.53,20.04,48.2,93,3.36,0
juneau,58.3,-134.42,45.3,75,12.75,90
batagay-alyta,67.8,130.41,19.18,90,4.94,99
geraldton,-28.77,114.6,59.0,44,24.16,33
kavieng,-2.57,150.8,84.69,73,5.88,100
cabra,37.47,-4.44,55.99,76,2.37,5
sembe,1.65,14.58,71.65,83,2.46,100
klaksvik,62.23,-6.59,37.4,74,8.05,100
acarau,-2.89,-40.12,78.82,85,8.88,100
inhambane,-23.86,35.38,70.23,80,4.94,0
tarangnan,11.9,124.75,86.65,61,4.21,100
southbridge,42.08,-72.03,49.1,52,1.9,0
tasiilaq,65.61,-37.64,35.6,93,9.17,61
broken hill,-31.95,141.43,69.8,64,9.17,100
ancud,-41.87,-73.82,55.15,100,8.05,40
cherskiy,68.75,161.3,24.93,96,8.21,100
tonk,26.17,75.78,84.27,32,6.91,0
victoria,22.29,114.16,74.55,69,8.99,98
san carlos de bariloche,-41.15,-71.31,48.2,76,18.34,20
haines junction,60.75,-137.51,44.51,50,2.55,37
goderich,43.75,-81.72,54.99,67,18.99,100
la ronge,55.1,-105.28,50.0,57,10.29,75
georgetown,5.41,100.34,78.4,94,3.36,20
tuktoyaktuk,69.45,-133.04,10.4,78,10.29,75
saint george,37.1,-113.58,89.19,15,8.3,1
kaz,52.91,87.31,64.51,58,4.81,96
ardmore,34.17,-97.14,83.41,54,9.06,100
swakopmund,-22.68,14.53,51.8,93,3.36,0
shache,38.42,77.24,67.19,15,4.16,1
broome,42.25,-75.83,51.28,43,4.7,90
kita,13.03,-9.49,88.93,16,2.98,0
spornoye,50.84,37.29,48.2,49,6.71,68
beringovskiy,63.05,179.32,31.6,96,8.59,63
wanning,18.8,110.4,76.98,76,5.55,100
paamiut,61.99,-49.67,30.33,95,10.2,0
monrovia,6.3,-10.8,77.0,94,6.91,20
kidal,18.44,1.41,86.05,13,12.35,0
cairns,-16.92,145.77,81.18,69,14.99,40
ilheus,-14.79,-39.05,77.0,83,8.05,20
ler,8.3,30.14,81.59,54,5.3,85
ugoofaaru,5.67,73.0,84.88,75,9.64,99
koumac,-20.57,164.28,80.28,60,6.89,26
vila,42.03,-8.16,50.0,92,11.99,100
erenhot,43.65,111.98,59.43,39,12.55,1
shihezi,44.3,86.03,78.66,18,2.28,0
peniche,39.36,-9.38,56.07,87,5.99,9
narsaq,60.92,-46.05,39.2,44,4.7,26
talcahuano,-36.72,-73.12,53.6,93,6.93,0
arkhangelsk,64.54,40.54,30.2,80,4.47,40
bengkulu,-3.8,102.27,80.51,74,2.62,1
cascais,38.7,-9.42,58.35,85,8.1,36
portland,45.52,-122.68,70.88,40,3.36,75
deputatskiy,69.3,139.9,18.61,91,4.47,100
saskylakh,71.92,114.08,17.89,96,4.29,95
nalut,30.33,10.85,75.27,18,9.31,0
waddan,29.16,16.14,72.79,33,13.4,34
plettenberg bay,-34.05,23.37,58.86,68,5.23,0
arlit,18.74,7.39,89.24,10,8.39,0
hamme,51.08,4.14,51.24,94,1.99,30
ende,-8.84,121.66,83.37,64,4.72,23
dungarpur,23.83,73.72,82.26,20,4.45,0
manta,-0.95,-80.73,78.8,83,6.93,20
axim,4.87,-2.24,80.53,86,6.38,99
saldanha,-33.01,17.94,59.0,58,2.24,0
zhangdian,34.2,119.3,64.06,56,8.34,0
aosta,45.77,7.42,36.0,98,1.01,96
labuan,5.28,115.24,80.29,94,3.36,75
ravar,31.27,56.81,67.55,21,5.68,0
kandi,11.13,2.94,87.55,45,7.96,89
arinos,-15.92,-46.11,65.8,72,2.26,0
port lincoln,-34.73,135.87,57.88,60,15.86,100
severo-kurilsk,50.68,156.12,32.74,93,12.82,57
sitka,57.05,-135.33,48.2,61,16.11,75
quatre cocos,-20.21,57.76,69.91,94,8.05,75
sola,-13.88,167.55,82.24,76,11.7,100
matamoros,25.53,-103.25,95.36,9,10.29,40
black forest,39.01,-104.7,60.33,27,19.46,1
luganville,-15.53,167.17,82.35,76,6.67,96
aden,12.78,45.04,84.51,80,9.66,2
katangli,51.71,143.23,40.71,80,3.13,96
bira,49.0,132.47,59.94,34,4.63,0
kargasok,59.06,80.86,48.58,70,10.71,100
kruisfontein,-34.0,24.73,54.93,84,4.63,71
norman wells,65.28,-126.83,41.0,41,11.41,75
morant bay,17.88,-76.41,80.89,74,5.82,20
port said,31.26,32.28,64.4,68,9.17,40
bilma,18.69,12.92,90.12,10,8.21,0
kodyma,48.1,29.12,48.0,64,11.41,7
aksarka,66.56,67.8,23.5,98,13.0,99
salinopolis,-0.61,-47.36,79.34,85,7.99,48
nha trang,12.25,109.18,84.2,70,9.17,20
safaga,26.73,33.94,75.2,33,5.82,1
berbera,10.44,45.01,86.92,71,3.4,0
dukat,62.55,155.55,27.0,79,1.21,100
gayeri,12.65,0.49,95.34,21,3.18,88
drogheda,53.72,-6.35,43.47,87,8.05,40
san quintin,30.48,-115.95,65.84,73,6.87,1
berlevag,70.86,29.09,27.77,92,3.13,56
quesnel,53.0,-122.5,48.2,61,14.99,40
nhulunbuy,-12.23,136.77,87.8,58,14.99,40
yichang,30.71,111.28,77.63,45,1.81,56
shingu,33.73,135.98,64.4,59,3.36,0
malanje,-9.54,16.34,64.09,68,0.76,95
banda aceh,5.56,95.32,82.26,73,4.21,96
kulotino,58.45,33.38,40.73,91,10.33,100
loei,17.42,101.5,73.4,78,2.24,0
katherine,-14.47,132.27,86.0,55,3.36,0
agua branca,-5.89,-42.64,72.86,89,3.13,100
dawei,14.08,98.2,83.84,70,2.42,15
xichang,27.9,102.26,62.17,34,1.34,97
titlagarh,20.3,83.15,81.46,58,2.84,0
semey,50.41,80.23,59.0,67,13.06,0
coquimbo,-29.95,-71.34,60.8,82,2.24,0
rio gallegos,-51.62,-69.22,35.6,100,3.36,0
pimentel,-6.84,-79.93,68.5,82,12.62,1
anchorage,61.22,-149.9,54.97,26,8.05,1
olinda,-8.01,-34.86,78.8,88,5.82,40
two hills,53.72,-111.75,57.67,31,6.13,100
kokoda,-8.88,147.74,84.79,56,4.7,100
namatanai,-3.67,152.43,86.72,66,4.05,100
port hedland,-20.32,118.57,87.8,43,12.75,0
souillac,-20.52,57.52,69.8,94,8.05,75
mogadishu,2.04,45.34,83.44,78,9.82,24
nuuk,64.18,-51.72,32.0,97,2.24,100
januaria,-15.48,-44.37,66.69,71,4.05,11
katyuzhanka,50.81,30.14,51.8,73,6.71,53
mandalgovi,45.76,106.27,57.24,34,8.84,100
hounde,11.5,-3.52,92.68,29,5.88,89
vallenar,-28.57,-70.76,62.1,41,2.01,0
belton,38.81,-94.53,61.92,82,4.7,1
koulikoro,14.0,-7.75,91.4,17,11.52,0
faanui,-16.48,-151.75,82.24,80,14.12,100
christchurch,-43.53,172.63,61.11,72,6.93,0
xuddur,4.12,43.89,76.05,71,9.01,99
puerto madryn,-42.77,-65.04,57.83,73,8.63,0
amapa,1.0,-52.0,73.38,94,3.11,100
wad rawah,15.16,33.14,81.73,13,7.45,23
dondo,-19.61,34.74,65.79,92,4.29,0
pierre,44.37,-100.35,60.37,44,26.4,75
tual,-5.67,132.75,82.63,77,6.87,100
marzuq,14.4,46.47,75.9,43,5.3,69
mokhsogollokh,61.47,128.92,35.91,92,3.22,100
sept-iles,50.2,-66.38,35.6,64,3.36,75
arica,-18.48,-70.3,66.2,77,0.2,40
waipawa,-41.41,175.52,61.7,63,18.34,0
ponta delgada,37.73,-25.67,59.0,67,6.93,75
lagoa,39.05,-27.98,59.09,65,15.95,100
piacabucu,-10.41,-36.43,77.38,86,6.58,0
burns lake,54.23,-125.75,51.21,38,11.72,100
bila tserkva,49.81,30.11,46.81,74,10.83,0
ilebo,-4.32,20.58,68.88,86,0.96,92
gorom-gorom,14.44,-0.24,92.98,18,4.99,0
bonavista,48.65,-53.11,32.0,88,14.0,100
noumea,-22.28,166.46,80.6,61,3.36,90
kathu,7.92,98.33,80.6,78,2.24,20
comodoro rivadavia,-45.87,-67.5,53.6,93,4.7,11
ermoupolis,37.44,24.94,61.41,63,6.93,27
thinadhoo,0.53,72.93,83.98,73,9.98,56
tiangua,-3.73,-40.99,68.22,79,2.64,100
gravdal,68.12,13.5,35.42,80,15.28,0
lavrentiya,65.58,-171.0,26.29,92,1.68,0
college,64.86,-147.8,44.44,22,16.11,75
te anau,-45.42,167.72,57.97,58,7.18,99
lormi,22.28,81.73,79.07,37,2.91,0
ovre ardal,61.32,7.8,23.92,86,2.33,87
galesong,-5.32,119.37,80.6,88,4.7,20
svetlogorsk,52.63,29.73,50.79,70,13.2,84
leh,34.17,77.58,37.47,17,2.73,2
kamenka,51.32,42.77,35.96,73,1.99,5
erzin,36.96,36.2,64.0,84,3.29,0
vestmanna,62.16,-7.17,37.4,76,8.05,99
ust-kulom,61.69,53.69,36.12,93,6.13,100
asau,46.43,26.4,48.99,68,5.46,54
tarko-sale,64.92,77.78,33.01,77,13.04,91
aklavik,68.22,-135.01,21.2,57,9.17,75
oranjestad,12.52,-70.03,82.4,65,20.8,20
marienburg,54.04,19.03,43.36,87,1.01,100
pacific grove,36.62,-121.92,60.17,72,4.7,1
muros,42.78,-9.06,57.99,85,13.0,100
midland,32.0,-102.08,96.6,8,12.75,1
itoman,26.12,127.67,70.86,64,9.17,75
morondava,-20.28,44.28,77.32,75,6.64,87
santa isabel do rio negro,-0.41,-65.02,75.76,87,0.85,100
kawalu,-7.38,108.21,78.22,75,1.21,44
koungou,-12.73,45.2,82.4,83,8.05,75
sisimiut,66.94,-53.67,28.9,95,5.68,98
fare,-16.7,-151.02,83.21,77,12.39,100
havelock,34.88,-76.9,67.5,56,11.41,1
pati,-6.76,111.04,80.74,80,4.68,89
brownfield,33.18,-102.27,88.07,16,15.9,56
batticaloa,7.71,81.69,80.96,80,4.81,0
mandera,3.94,41.87,81.12,64,12.26,92
daru,-9.08,143.21,82.62,85,14.36,100
eyl,7.98,49.82,83.77,77,11.01,42
chapais,49.78,-74.85,48.2,31,4.7,1
komsomolskiy,40.43,71.72,60.8,72,4.7,100
port moresby,-9.44,147.18,86.0,79,11.41,40
saint anthony,45.02,-93.22,48.76,76,12.75,90
jalu,29.03,21.55,72.66,34,7.94,88
dudinka,69.41,86.18,19.4,85,6.71,40
tigzirt,36.89,4.12,60.6,66,4.63,99
shenkursk,62.11,42.9,26.42,98,4.03,0
aswan,24.09,32.91,74.66,25,10.56,0
namibe,-15.2,12.15,72.28,70,6.51,4
gornyy,55.12,83.91,61.72,65,17.34,100
hearst,49.68,-83.67,40.28,83,4.99,100
darhan,49.49,105.92,59.25,41,6.76,100
nisia floresta,-6.09,-35.21,77.0,94,5.82,20
vao,-22.67,167.48,75.58,75,23.53,5
itaberaba,-12.53,-40.31,68.4,83,2.91,4
usinsk,65.99,57.53,30.74,97,17.43,100
puro,12.48,123.38,85.46,67,10.31,100
salalah,17.02,54.09,84.2,83,4.7,20
rafaela,-31.25,-61.49,60.13,67,1.99,0
ngunguru,-35.62,174.5,69.53,70,4.0,40
sorland,67.67,12.69,36.93,76,12.73,1
calamar,10.25,-74.91,80.76,74,8.68,100
grand-lahou,5.14,-5.02,79.68,90,7.63,100
tahe,52.33,124.73,64.62,22,9.73,3
sikonge,-5.63,32.77,65.97,66,4.59,100
dunda,-8.12,34.25,63.28,65,2.1,23
san andres,12.58,-81.7,84.2,70,13.87,40
lovington,32.94,-103.35,90.55,7,13.87,1
the valley,18.22,-63.06,80.2,74,9.17,20
svetlaya,46.54,138.33,49.1,57,3.24,40
barcelos,41.54,-8.62,56.28,87,14.99,75
mapimi,25.82,-103.85,95.31,9,10.29,40
gorontalo,0.54,123.06,83.28,78,0.47,40
nanchang,28.68,115.88,76.08,57,4.74,0
pangnirtung,66.15,-65.71,10.45,77,2.84,0
fairbanks,64.84,-147.72,45.19,28,10.29,20
stornoway,58.21,-6.39,43.12,81,3.36,0
margate,51.38,1.39,48.33,99,1.99,100
tocopilla,-22.09,-70.2,67.03,62,8.16,21
chernyshevskiy,63.01,112.47,30.27,83,11.63,1
denison,33.76,-96.54,82.67,65,8.05,90
mataram,-8.58,116.12,78.8,83,4.25,20
sumbe,-11.21,13.84,75.33,86,3.91,87
shahr-e babak,30.12,55.12,57.54,24,3.94,0
cidreira,-30.18,-50.21,71.19,85,16.69,0
ozinki,51.18,49.68,38.37,83,7.83,0
yulara,-25.24,130.99,68.0,64,19.46,0
odweyne,9.41,45.06,73.87,55,6.89,0
arcata,40.87,-124.08,57.69,93,17.22,75
ambilobe,-13.2,49.05,73.49,83,4.47,0
puerto carreno,6.19,-67.49,84.36,64,5.46,65
sambava,-14.27,50.17,75.83,88,11.41,64
catamarca,-28.47,-65.79,62.58,59,0.51,26
sao filipe,14.9,-24.5,73.76,78,8.34,100
belousovka,50.13,82.52,57.2,58,2.24,7
ahipara,-35.17,173.17,66.88,66,3.89,67
nizhnyaya tavda,57.67,66.17,47.98,89,4.72,0
sonoita,31.85,-112.83,97.0,10,14.85,0
mareeba,-17.0,145.43,79.32,67,5.01,70
longhua,23.61,114.19,79.12,55,1.52,82
zhangye,38.93,100.45,66.6,13,3.49,76
mukdahan,16.58,104.5,75.2,73,2.24,20
sao joao da barra,-21.64,-41.05,71.38,78,2.33,19
portoferraio,42.81,10.31,61.65,93,1.99,2
bubaque,11.28,-15.83,79.09,73,9.35,78
henties bay,-22.12,14.28,63.25,74,0.07,0
sabang,5.89,95.32,83.16,73,8.55,99
angoche,-16.23,39.91,73.29,80,7.45,3
rocha,-34.48,-54.33,66.9,91,13.15,100
tura,25.52,90.22,73.06,66,1.77,0
wanaka,-44.7,169.15,57.52,45,3.18,79
tanggu,39.02,117.65,66.2,37,8.95,2
talnakh,69.49,88.4,19.4,85,6.71,40
creel,27.75,-107.63,68.0,12,11.3,0
saint-francois,46.42,3.91,50.0,76,2.24,8
bratsk,56.13,101.61,52.43,27,2.24,96
lengshuitan,26.41,111.6,76.71,54,4.09,33
qasigiannguit,68.82,-51.19,24.8,68,3.36,0
banjar,-8.19,114.97,80.6,88,3.36,20
soyo,-6.13,12.37,77.9,88,8.97,2
tambura,5.6,27.47,70.03,71,8.08,100
umm qays,32.65,35.69,53.17,88,3.22,30
ilo,-17.64,-71.34,67.71,76,5.01,80
beloha,-25.17,45.05,68.18,77,6.42,0
